Longitude,Latitude
115.6,-64.47
115,-64.46
118.7,-64.73
49.79,-43.39
53.33,-45.08
89.11,-47
49.82,-43.4
52.93,-46.17
71.37,-49.13
68.3855,-50.567
86.7,-47.73
44.37016667,-46.04716667
49.1895,-46.18483333
52.02583333,-45.73233333
52.02533333,-45.73316667
65.13,-44.4
76.93,-47.02
79.47,-46.65
79.5,-46.67
82.93,-45.75
90.11,-46.07
96.46,-46.02
100.11,-49.92
104.9,-50.02
95.93,-62.49
89.4,-58.99
68.02,-50.84
79.42,-42.5
86.52,-45.59
90.25,-50.38
89.54,-48.8
90.08,-44.67
90.28,-41.72
90.1,-38.86
97.6,-33.59
79.84,-43.51
88.07,-46.48
90.24,-47.77
97.7,-32.16
94.6,-40.7
97.61,-33.18
97.71,-31.62
110.58,-33.58
109.15,-33.53
109.31,-33.54
80.93,-35.96
79.84,-43.5
86.01,-39.92
96.48,-46.04
104.48,-47.19
120.3,-66.4
120.5,-66.13
35.31,-66.19
33.63,-64.96
37.48,-67.06
30.83,-65.93
21.78,-36.96
25.59,-40.58
28.55,-41.86
31.58,-43.18
34.79,-44.56
35.9,-45.13
