Longitude,Latitude
186.7,-75.58
181.4169,-74.37
179.6666,-74.5
172.3331,-75.28
171.3666,-73.53
185.1669,-78.43
165.875,-77.48
169.87,-53.63
164.0748,-67.24
164.3998,-67.46
170.81,-48.67
174.47,-49.47
175.3331,-67.7
181.4333,-77.5
180.9933,-77.57
180,-77.58
181.145,-77.32
180.76,-46.45
178.98,-45.92
174.08,-47.04
115.6,-64.47
115,-64.46
118.7,-64.73
178.73,-44.5
173.73,-48.73
174.23,-57.81
174.42,-61.77
174.78,-63.29
190.68,-63.63
49.79,-43.39
53.33,-45.08
89.11,-47
49.82,-43.4
52.93,-46.17
71.37,-49.13
68.3855,-50.567
86.7,-47.73
44.37016667,-46.04716667
49.1895,-46.18483333
52.02583333,-45.73233333
52.02533333,-45.73316667
65.13,-44.4
76.93,-47.02
79.47,-46.65
79.5,-46.67
82.93,-45.75
90.11,-46.07
96.46,-46.02
100.11,-49.92
104.9,-50.02
95.93,-62.49
89.4,-58.99
68.02,-50.84
79.42,-42.5
86.52,-45.59
90.25,-50.38
89.54,-48.8
90.08,-44.67
90.28,-41.72
79.84,-43.51
88.07,-46.48
90.24,-47.77
79.84,-43.5
96.48,-46.04
104.48,-47.19
183.04,-73.54
185.31,-53.04
120.3,-66.4
120.5,-66.13
190.26,-63.11
189.81,-60.24
190.02,-58.69
177,-50.9
146.05,-47.15
-9.99,-70.01
-5.62,-68.33
-5.84,-68.73
-6.68,-70.09
1.85,-65.43
10.48,-44.5
9.61,-45.62
7.1,-47.79
5.76,-50.17
4.86,-51.83
4.47,-52.59
3.78,-53.76
1.16,-55.46
-0.48,-56.32
-2.87,-54.65
-7.5,-50.95
-8.77,-49.73
-11.03,-48.23
-12.7,-49.01
-14.08,-50.4
-15.27,-51.68
-18.6,-55.19
-22.72,-54.91
-31.74,-54.93
35.31,-66.19
33.63,-64.96
37.48,-67.06
30.83,-65.93
8.89,-66.33
13.66,-65.74
-37.74,-65.67
-30.07,-65.96
-25.55,-66.89
-22.52,-67.51
-19.34,-68.28
-16.5,-69.37
13.05,-41.72
12.19,-42.69
11.76,-43.22
7.05,-46.37
7.96,-47.02
6.71,-49.13
-3.32,-51.33
-3.23,-50.74
-2.85,-48.69
-50.07,-43.97
-44.45,-44.52
8.97,-42.88
5.97,-44.96
-4.05,-43.18
-6.02,-42.89
-12.34,-41.69
-14.64,-42.99
-14.23,-44.15
28.55,-41.86
31.58,-43.18
34.79,-44.56
35.9,-45.13
175.06,-45.96
174.98,-44.29
185.92,-45.33
182.08,-46.6
182.01,-49.67
172.11,-45.33
176.61,-49.32
160.87,-57.56
164.61,-49.52
164.29,-50.43
179.51,-45.08
